Linha,Entidade,Toque,Ponto
Pomba Gira,Dama da Noite,Barravento,"Dama da Noite não te dou meu coração, eu não posso com você morar
Sua morada é na encruza, seu Tranca Rua é quem mora lá (2x)"
Pomba Gira,Dama da Noite,Samba,"Moça me dá um cigarro do seu pra eu fumar, que nem dinheiro eu tenho pra comprar  (2x)
Vivo sozinho, na solidão, dama da noite me dê sua proteção  (2x)"
Pomba Gira,Dama da Noite,Samba,"Ô dama da noite, ô minha donzela, cadê dama da noite eu quero falar com ela (2x)
Olha ela aí, olha ela aí, ô dama da noite a mulher do Tiriri (2x)"
Pomba Gira,Dama da Noite,Congo,"Dama da noite tem a tentação do cão, mas quem é que não quer pegar na sua mão
Ela trabalha com enxofre, tem a parte com cão"
Pomba Gira,Rosa Caveira,Samba,"Sacode o pó que chegou Rosa Caveira
Pomba Gira da calunga, vem levantando poeira 
Suas mandingas são cercadas de mistérios
Saravá a Pomba Gira que vem lá do cemitério
Se diz que faz é melhor não duvidar
Porque a Rosa Caveira promete para não faltar

Sacode o pó que chegou Rosa Caveira 
Pomba Gira da calunga, vem levantando poeira 
Levo uma rosa quando vou ao seu axé 
Falo com Rosa Caveira porque nela eu tenho fé
Tudo o que peço nunca me deixou faltar
Ela é muito formosa, ê na ê na é mojubá"
Pomba Gira,Maria Padilha,Samba,"O povo queria matar uma mulher
O padre não concordou e a rezou com muita fé (2x)
Ele era pecador e na fogueira morreu junto
Foi parar lá no inferno aquele casal de defunto 
Ela se juntou a cinzas gargalhou a luz da lua
A mulher virou padilha e o padre Tranca Rua     "
Pomba Gira,Maria Padilha,Congo,"Perambulava pelas ruas, já sem saber, o que fazer
Procurava na noite, uma solução, para tanta dor, sofrimento e solidão
Então eu clamei, ao povo da rua que me enviasse, no momento alguma ajuda 
Pois eu já não tinha força para continuar (2x)
Quando me virei vi uma mulher, na beira da estrada
Trazia uma rosa em suas mão, um feitiço no olhar
Naquela bela noite de luar, deslumbrei sua dança com sua saia a rodar
Eu me aproximei e lhe perguntei o que ela fazia na estrada
Ela respondeu, moço eu sou Rainha, vim lhe ajudar, sou Maria Padilha
Ela respondeu, moço eu sou Rainha, vim lhe ajudar, sou Maria Padilha
Quando eu precisei ô pombo gira, você veio me ajudar
Deste outro rumo a minha vida e hoje eu venho lhe louvar"
Pomba Gira,Maria Padilha,Congo,"Abre essa cova, quero ver tremer, abre essa cova quero ver balancear (2x)
Maria Padilha das almas, cemitério é o seu lugar
É na Calunga que a Padilha mora, é na Calunga que a Padilha vai girar (2x)"
Pomba Gira,Maria Padilha,Congo,"Na calunga eu vi, uma linda mulher girar
Ela bebia, ela fumava
Ela invocava Exu, dava gargalhada
Ela é Maria Padilha
Ela é  Exu Mulher
Ela vem lá da calunga, vem girando no terreiro
Vem trazendo o seu axé"
Pomba Gira,Maria Mulambo,Congo,"Foi na boca do Lixo, firma a curimba e vai fazer feitiço (2x)
Se quer saber, vem que eu quero ver
Maria Mulambo é de querê que dê
Se quer saber, vem pra cá girar
Maria Mulambo é de caiá caiá"
